Date,householdDebt,caseShillerIndex,cpi,fed10YearYield,fed30YearYield,fed3MonthYield,ppi,consumerRent,unemploymentRate,german10Yr
10/1/2010,11.7132,142.061,220.472,3.29,4.42,0.14,189.7,259.933,9.3,2.91
1/1/2011,11.7544,139.981,223.046,3.41,4.51,0.1,199.2,260.714,9,3.21
4/1/2011,11.7295,139.852,224.806,3,4.23,0.04,203.9,261.721,9.1,2.89
7/1/2011,11.6612,138.66,226.597,1.98,3.18,0.01,203.7,263.254,9,1.83
10/1/2011,11.5368,136.665,227.223,1.98,2.98,0.01,199.8,264.827,8.5,1.93
1/1/2012,11.43625613,137.909,228.807,2.17,3.28,0.08,204.2,266.208,8.2,1.83
4/1/2012,11.384,141.027,228.524,1.62,2.7,0.09,199.8,267.535,8.2,1.3
7/1/2012,11.31,142.907,231.015,1.72,2.88,0.11,204.4,269.041,7.8,1.49
10/1/2012,11.341,145.506,231.221,1.72,2.88,0.07,201.5,270.565,7.9,1.3
1/1/2013,11.231,149.957,232.282,1.96,3.16,0.09,204,272.07,7.5,1.35
4/1/2013,11.153,154.203,232.445,2.3,3.4,0.05,204.3,273.762,7.5,1.53
7/1/2013,11.28,158.235,233.544,2.81,3.79,0.02,203.9,275.375,7.2,1.89
10/1/2013,11.521,160.994,234.719,2.9,3.89,0.07,202,277.385,6.7,1.8
1/1/2014,11.65,163.11,236.028,2.72,3.62,0.05,207,279.463,6.7,1.51
4/1/2014,11.632,164.058,237.231,2.6,3.42,0.04,208.3,281.426,6.1,1.26
7/1/2014,11.71,165.908,237.477,2.53,3.26,0.02,206.4,283.405,5.9,0.92
10/1/2014,11.827,168.079,236.252,2.21,2.83,0.03,197,285.343,5.6,0.59
1/1/2015,11.851,169.868,235.976,2.04,2.63,0.03,191.5,287.736,5.4,0.23
4/1/2015,11.853,171.466,237.657,2.36,3.11,0.02,194.8,289.874,5.3,0.79
7/1/2015,12.065,173.84,237.498,2.17,2.95,0.02,189.1,292.435,5,0.65
10/1/2015,12.116,176.602,237.761,2.24,2.97,0.23,183.5,294.565,5,0.55
1/1/2016,12.252,178.261,237.99,1.89,2.68,0.3,182.1,297.022,5,0.17
4/1/2016,12.287,180.085,240.144,1.64,2.45,0.27,187.6,299.933,4.9,-0.02
7/1/2016,12.35,182.85,241.068,1.63,2.35,0.29,186.9,302.533,5,-0.09
10/1/2016,12.576,185.796,242.712,2.49,3.11,0.51,188.2,305.319,4.7,0.25
1/1/2017,12.725,188.211,243.721,2.48,3.08,0.75,191.5,307.411,4.4,0.35
4/1/2017,12.839,190.562,244.179,2.19,2.8,1,193.6,309.738,4.3,0.25
7/1/2017,12.955,193.794,246.445,2.2,2.78,1.05,194.8,312.381,4.2,0.35
10/1/2017,13.148,197.201,247.847,2.4,2.77,1.34,196.3,315.168,4.1,0.3
1/1/2018,13.211,200.347,249.413,2.84,3.09,1.73,199.3,317.722,4,0.53
4/1/2018,13.293,202.411,251.176,2.91,3.05,1.94,204.2,320.277,4,0.33
7/1/2018,13.512,204.383,252.261,3,3.15,2.17,203.6,322.703,3.7,0.37
10/1/2018,13.544,206.087,252.653,2.83,3.1,2.41,201,325.292,3.9,0.19
1/1/2019,13.668,207.675,254.095,2.57,2.98,2.45,200.8,328.52,3.8,0.01
4/1/2019,13.86,209.025,255.402,2.07,2.57,2.22,200.3,331.59,3.7,-0.31
7/1/2019,13.952,210.932,256.593,1.7,2.16,1.93,198.4,334.164,3.5,-0.59
10/1/2019,14.145,213.789,258.444,1.86,2.3,1.57,199.2,335.958,3.5,-0.3
